Code,Description,Units,total
RFGCHBRR,Chimney stack - Re-bed brickwork - Half brick thick,£200.35 M2,£200.30
RFGCHBRR>,Chimney stack - Re-bed brickwork - One brick thick,£339.27 M2,£339.20
RFGCHC300,Chimney pot - Clay - Roll top or straight beaded - 300mm,£36.02 EA,£36.02
RFGCHC300+,Chimney pot - Clay - Ornate or decorative - 300mm,£54.34 EA,£54.34
RFGCHC450,Chimney pot - Clay - Roll top or straight beaded - 450mm,£46.85 EA,£46.85
RFGCHC450+,Chimney pot - Clay - Ornate or decorative - 450mm,£71.89 EA,£71.89
RFGCHC600,Chimney pot - Clay - Roll top or straight beaded - 600mm,£67.17 EA,£67.17
RFGCHC600+,Chimney pot - Clay - Ornate or decorative - 600mm,£89.63 EA,£89.63
RFGCHCO,Chimney pot cowl - Aluminium/stainless steel,£61.69 EA,£61.69
RFGCORB,Corrugated roof sheet - Bitumen,£17.52 M2,£17.52
RFGCORB2,Corrugated roof sheet - Bitumen - 2.00 x 0.93m,£33.82 EA,£33.82
RFGCORBFF,Corrugated roof flashing - Bitumen sheets,£15.41 LM,£15.41
RFGCORBR,Corrugated roof ridge cap - Bitumen,£20.50 LM,£20.50
RFGCORF,Corrugated roof sheet - Fibre cement,£27.23 M2,£27.23
RFGCORF18,Corrugated roof sheet - Fibre cement - 1.83 x 1.086m,£42.73 EA,£42.73
RFGCORF24,Corrugated roof sheet - Fibre cement - 2.44 x 1.086m,£52.76 EA,£52.76
RFGCORF3,Corrugated roof sheet - Fibre cement - 3.05 x 1.086m,£81.49 EA,£81.49
RFGCORFR,Corrugated roof ridge cap - Fibre cement,£28.01 LM,£28.01
RFGCORG,Corrugated roof sheet - Galvanised steel,£24.94 M2,£24.94
RFGCORG18,Corrugated roof sheet - Galvanised steel - 1.83 x 1m,£37.41 EA,£37.41
RFGCORG24,Corrugated roof sheet - Galvanised steel - 2.44 x 1m,£47.57 EA,£47.57
RFGCORG3,Corrugated roof sheet - Galvanised steel - 3.05 x 1m,£65.60 EA,£65.60
RFGCORGR,Corrugated roof ridge cap - Steel sheets,£21.84 LM,£21.84
RFGCORP,Corrugated roof sheet - PVC,£18.28 M2,£18.28
RFGCORP18,Corrugated roof sheet - PVC - 1.83 x 0.76m,£27.95 EA,£27.95
RFGCORP24,Corrugated roof sheet - PVC - 2.44 x 0.76m,£32.71 EA,£32.71
RFGCORP3,Corrugated roof sheet - PVC - 3.05 x 0.76m,£39.13 EA,£39.13
RFGCORPC,Corrugated roof cushion - Foam - 75 x 650mm,£2.98 EA,£2.98
RFGCORPFF,Corrugated roof flashing - PVC sheets,£17.43 LM,£17.43
RFGCORPR,Corrugated roof ridge cap - PVC sheets,£19.98 LM,£19.98
RFGEAVEF,Underlay felt support/fascia tray - 310mm wide,£5.28 LM,£5.28
RFGEAVEFV,Over fascia vent - 10mm airflow,£3.71 LM,£3.71
RFGEAVEFV>,Over fascia vent - 25mm airflow,£5.47 LM,£5.47
RFGEAVER,Rafter ventilation tray - 350 x 600mm,£4.92 EA,£4.92
RFGFBAND,Flashband - Up to 225mm,£8.74 LM,£8.74
RFGFBAND>,Flashband - 226 to 450mm,£9.85 LM,£9.85
RFGFELT,Pitched roof underlay - Average grade,£7.21 M2,£7.21
RFGFELT+,Pitched roof underlay - High grade,£7.55 M2,£7.55
RFGFELT++,Pitched roof underlay - Premium grade,£7.95 M2,£7.95
RFGFIR100,Firring piece - 47mm x 100mm to 0mm,£6.89 LM,£6.89
RFGFIR50,Firring piece - 47mm x 50mm to 0mm,£5.39 LM,£5.39
RFGFIR75,Firring piece - 47mm x 75mm to 0mm,£6.13 LM,£6.13
RFGFL4SM,Lead - Code 4 - Material only,£55.58 M2,£55.58
RFGFL5SM,Lead - Code 5 - Material only,£70.74 M2,£70.74
RFGFL6SM,Lead - Code 6 - Material only,£75.86 M2,£75.86
RFGFL7SM,Lead - Code 7 - Material only,£90.21 M2,£90.21
RFGFL8SM,Lead - Code 8 - Material only,£113.54 M2,£113.50
RFGFLACA,Bitumen based flat roof - 2 layer - Cold adhesive,£42.55 M2,£42.55
RFGFLADE,Bitumen based felt flat roof - Drip edge up stand,£19.34 LM,£19.34
RFGFLATO2,Bitumen based flat roof - 2 layer - Torch on,£41.22 M2,£41.22
RFGFLATO2+,Bitumen based flat roof - 2 layer - Torch on - High grade,£45.15 M2,£45.15
RFGFLATO3,Bitumen based flat roof - 3 layer - Torch on,£60.80 M2,£60.80
RFGFLATO3+,Bitumen based flat roof - 3 layer - Torch on - High grade,£72.07 M2,£72.07
RFGFLATWP,Flat roof - Water proof sealer - Acrylic,£15.40 M2,£15.40
RFGFLAVE,Bitumen based felt flat roof - Vertical edge up stand,£19.61 LM,£19.61
RFGFLF,Flashing - Lead free - 400mm to 600mm wide,£46.97 LM,£46.97
RFGFLF<,Flashing - Lead free - 201mm to 399mm wide,£36.53 LM,£36.53
RFGFLF<<,Flashing - Lead free - 100mm to 200mm wide,£29.82 LM,£29.82
RFGFLF>,Flashing - Lead free - 1000mm wide,£65.29 LM,£65.29
RFGFLL3,Flashing - Lead - Code 3 - 201mm to 300mm wide,£36.22 LM,£36.22
RFGFLL3<,Flashing - Lead - Code 3 - Up to 200mm wide,£28.07 LM,£28.07
RFGFLL3>,Flashing - Lead - Code 3 - 301mm to 500mm wide,£43.50 LM,£43.50
RFGFLL3>>,Flashing - Lead - Code 3 - 501mm to 600mm wide,£53.02 LM,£53.02
RFGFLL4,Flashing - Lead - Code 4 - 201mm to 300mm wide,£44.71 LM,£44.71
RFGFLL4<,Flashing - Lead - Code 4 - Up to 200mm wide,£32.32 LM,£32.32
RFGFLL4>,Flashing - Lead - Code 4 - 301mm to 500mm wide,£59.48 LM,£59.48
RFGFLL4>>,Flashing - Lead - Code 4 - 501mm to 600mm wide,£71.12 LM,£71.12
RFGFLL4R,Ridge flashing - Lead - Code 4 - 201mm to 300mm wide,£41.51 LM,£41.51
RFGFLL4R>,Ridge flashing - Lead - Code 4 - 301mm to 500mm wide,£56.32 LM,£56.32
RFGFLL4S,Step flashing - Lead - Code 4 - 201mm to 300mm wide,£51.00 LM,£51.00
RFGFLL4S<,Step flashing - Lead - Code 4 - Up to 200mm wide,£37.03 LM,£37.03
RFGFLL4S>,Step flashing - Lead - Code 4 - 301mm to 500mm wide,£68.31 LM,£68.31
RFGFLL4SO>,Soaker flashing - Lead - Code 4 - 301mm to 500mm wide,£83.37 LM,£83.37
RFGFLL4T>,Valley trough - Lead - Code 4 - 301 to 500mm wide,£57.42 LM,£57.42
RFGFLL4T>>,Valley trough - Lead - Code 4 - 501 to 600mm wide,£68.60 LM,£68.60
RFGFLL5,Flashing - Lead - Code 5 - 201mm to 300mm wide,£49.50 LM,£49.50
RFGFLL5<,Flashing - Lead - Code 5 - Up to 200mm wide,£37.09 LM,£37.09
RFGFLL5>,Flashing - Lead - Code 5 - 301mm to 500mm wide,£65.97 LM,£65.97
RFGFLL5>>,Flashing - Lead - Code 5 - 501mm to 600mm wide,£83.81 LM,£83.81
RFGFLL5R,Ridge flashing - Lead - Code 5 - 201mm to 300mm wide,£46.25 LM,£46.25
RFGFLL5R>,Ridge flashing - Lead - Code 5 - 301mm to 500mm wide,£62.75 LM,£62.75
RFGFLL5S,Step flashing - Lead - Code 5 - 201mm to 300mm wide,£55.94 LM,£55.94
RFGFLL5S<,Step flashing - Lead - Code 5 - Up to 200mm wide,£49.17 LM,£49.17
RFGFLL5S>,Step flashing - Lead - Code 5 - 301mm to 500mm wide,£81.15 LM,£81.15
RFGFLL5SO>,Soaker flashing - Lead - Code 5 - 301mm to 500mm wide,£92.28 LM,£92.28
RFGFLL5T>,Valley trough - Lead - Code 5 - 301 to 500mm wide,£63.87 LM,£63.87
RFGFLL5T>>,Valley trough - Lead - Code 5 - 501 to 600mm wide,£81.22 LM,£81.22
RFGFLL6,Flashing - Lead - Code 6 - 201mm to 300mm wide,£45.70 LM,£45.70
RFGFLL6<,Flashing - Lead - Code 6 - Up to 200mm wide,£33.05 LM,£33.05
RFGFLL6>,Flashing - Lead - Code 6 - 301mm to 500mm wide,£59.25 LM,£59.25
RFGFLL6>>,Flashing - Lead - Code 6 - 501mm to 600mm wide,£72.92 LM,£72.92
RFGFLL6R,Ridge flashing - Lead - Code 6 - 201mm to 300mm wide,£42.38 LM,£42.38
RFGFLL6R>,Ridge flashing - Lead - Code 6 - 301mm to 500mm wide,£55.99 LM,£55.99
RFGFLL6S,Step flashing - Lead - Code 6 - 201mm to 300mm wide,£63.06 LM,£63.06
RFGFLL6S<,Step flashing - Lead - Code 6 - Up to 200mm wide,£45.51 LM,£45.51
RFGFLL6S>,Step flashing - Lead - Code 6 - 301mm to 500mm wide,£85.29 LM,£85.29
RFGFLL6SO>,Soaker flashing - Lead - Code 6 - 301mm to 500mm wide,£83.61 LM,£83.61
RFGFLL6T>,Valley trough - Lead - Code 6 - 301 to 500mm wide,£57.13 LM,£57.13
RFGFLL6T>>,Valley trough - Lead - Code 6 - 501 to 600mm wide,£70.30 LM,£70.30
RFGFLLRR,"Flashing - Remove, refit and re-point",£6.64 LM,£6.64
RFGFLOF,Lead - Labour only,£26.48 M2,£26.48
RFGFLPAT,Lead patination oil,£8.15 M2,£8.15
RFGFLSL,Flashing - Lead weathering slate,£40.66 EA,£40.66
RFGFLUC,Flue liner - Clay - Up to 200mm square - 300mm long,£117.26 LM,£117.20
RFGFLUC>,Flue liner - Clay - Up to 300mm square - 300mm long,£155.60 LM,£155.60
RFGFLUCC,Flue liner - Clay - Round - Up to 200mm dia x 300mm long,£68.92 LM,£68.92
RFGFLUCC>,Flue liner - Clay - Round - Up to 300mm dia x 300mm long,£119.52 LM,£119.50
RFGFLUS,Flue liner - Steel - Circular - Up to 200mm dia,£38.91 LM,£38.91
RFGFLUS>,Flue liner - Steel - Circular - 200 to 400mm dia,£81.36 LM,£81.36
RFGFLVAB,Vapour barrier for warm flat roof,£6.09 M2,£6.09
RFGFLVT,Valley trough flashing - GRP - 300 to 400mm,£16.22 LM,£16.22
RFGFLVT+,Valley trough flashing - Hvy duty - GRP - 300 to 400mm,£20.98 LM,£20.98
RFGGRP,Glass-reinforced polyester membrane,£27.92 M2,£27.92
RFGGRPCRN,Glass-reinforced polyester - Corner,£12.96 EA,£12.96
RFGGRPTRM,Glass-reinforced polyester - Trim,£7.03 LM,£7.03
RFGHIGH,Additional lab charge for high roof - 2 storey or greater,£0.81 M2,£0.81
RFGHR22,Hip ridge with jack rafters - 14-22.5° pitch - 450mm c/c,£170.97 LM,£170.90
RFGHR35,Hip ridge with jack rafters - 23-35° pitch - 450mm c/c,£174.33 LM,£174.30
RFGHR40,Hip ridge with jack rafters - 36-40° pitch - 450mm c/c,£178.02 LM,£178.00
RFGHR45,Hip ridge with jack rafters - 41-45° pitch - 450mm c/c,£182.10 LM,£182.10
RFGLAB,Roofer - Per hour,£31.16 HR,£31.16
RFGLABAH,Roofer - Per hour - After business hours,£46.79 HR,£46.79
RFGLAB-F,Roofer - Flat Roof - Per hour,£31.16 HR,£31.16
RFGLABL,Roofer - General Labourer - Per hour,£23.57 HR,£23.57
RFGLPDF,Rooflight polycarbonate dome - 750 x 750mm,£273.16 EA,£273.10
RFGLPDF<,Rooflight polycarbonate dome - 600 x 600mm,£228.02 EA,£228.00
RFGLPDF>,Rooflight polycarbonate dome - 900 x 900mm,£329.22 EA,£329.20
RFGLPM,Liquid polyurethane roof membrane,£33.93 M2,£33.93
RFGLPM+,Liquid plastic roof membrane - High grade,£71.55 M2,£71.55
RFGMASTIC,Roof and gutter silicone sealant,£7.42 LM,£7.42
RFGMN,Asphalt/Felt shingle roofing repair - Minimum trade rate,£93.57 EA,£93.57
RFGPC,"PC sum - Roofing slate, tile or other",£0.00 EA,£0.00
RFGPOVER,Mortar verge fillet - Up to 60mm x 50mm void,£15.86 LM,£15.86
RFGPOVER>,Mortar verge fillet - Up to 120mm x 50mm void,£22.82 LM,£22.82
RFGPURL15,Rafter - Purlin - 50 x 150mm - 400mm c/c,£13.69 LM,£13.69
RFGPURL15>,Rafter - Purlin - 50 x 150mm - 600mm c/c,£12.68 LM,£12.68
RFGPURL20,Rafter - Purlin - 50 x 200mm - 400mm c/c,£18.61 LM,£18.61
RFGPURL20>,Rafter - Purlin - 50 x 200mm - 600mm c/c,£17.52 LM,£17.52
RFGRB15,Ridge Board - 50 x 150mm,£22.30 LM,£22.30
RFGRB20,Ridge Board - 50 x 200mm,£26.67 LM,£26.67
RFGRFA10,Add-on lab & mat - 50 x 100mm - 22.5-36° pitch - 400mm c/c,£7.29 M2,£7.29
RFGRFA10<,Add-on lab & mat - 50 x 100mm - 22.5-36° pitch - 300mm c/c,£9.05 M2,£9.05
RFGRFA10>,Add-on lab & mat - 50 x 100mm - 22.5-36° pitch - 600mm c/c,£5.60 M2,£5.60
RFGRFA10L,Additional lab charge - 50 x 100 to 150mm - 22.5-36° pitch,£1.58 LM,£1.58
RFGRFA10L>,Additional lab charge - 50 x 100 to 150mm - 36-45° pitch,£2.63 LM,£2.63
RFGRFA10S,Add-on lab & mat - 50 x 100mm - 36-45° pitch - 400mm c/c,£12.91 M2,£12.91
RFGRFA10S<,Add-on lab & mat - 50 x 100mm - 36-45° pitch - 300mm c/c,£14.54 M2,£14.54
RFGRFA10S>,Add-on lab & mat - 50 x 100mm - 36-45° pitch - 600mm c/c,£9.84 M2,£9.84
RFGRFA15,Add-on lab & mat - 50 x 150mm - 22.5-36° pitch - 400mm c/c,£7.71 M2,£7.71
RFGRFA15<,Add-on lab & mat - 50 x 150mm - 22.5-36° pitch - 300mm c/c,£9.60 M2,£9.60
RFGRFA15>,Add-on lab & mat - 50 x 150mm - 22.5-36° pitch - 600mm c/c,£5.88 M2,£5.88
RFGRFA15S,Add-on lab & mat - 50 x 150mm - 36-45° pitch - 400mm c/c,£13.74 M2,£13.74
RFGRFA15S<,Add-on lab & mat - 50 x 150mm - 36-45° pitch - 300mm c/c,£15.37 M2,£15.37
RFGRFA15S>,Add-on lab & mat - 50 x 150mm - 36-45° pitch - 600mm c/c,£10.40 M2,£10.40
RFGRFA20,Add-on lab & mat - 50 x 200mm - 22.5-36° pitch - 400mm c/c,£11.95 M2,£11.95
RFGRFA20<,Add-on lab & mat - 50 x 200mm - 22.5-36° pitch - 300mm c/c,£15.16 M2,£15.16
RFGRFA20>,Add-on lab & mat - 50 x 200mm - 22.5-36° pitch - 600mm c/c,£8.81 M2,£8.81
RFGRFA20L,Additional lab charge - 50 x 200 to 300mm - 22.5-36° pitch,£2.41 LM,£2.41
RFGRFA20L>,Additional lab charge - 50 x 200 to 300mm - 36-45° pitch,£4.01 LM,£4.01
RFGRFA20S,Add-on lab & mat - 50 x 200mm - 36-45° pitch - 400mm c/c,£21.35 M2,£21.35
RFGRFA20S<,Add-on lab & mat - 50 x 200mm - 36-45° pitch - 300mm c/c,£27.15 M2,£27.15
RFGRFA20S>,Add-on lab & mat - 50 x 200mm - 36-45° pitch - 600mm c/c,£15.64 M2,£15.64
RFGRFA25,Add-on lab & mat - 50 x 250mm - 22.5-36° pitch - 400mm c/c,£10.40 M2,£10.40
RFGRFA25<,Add-on lab & mat - 50 x 250mm - 22.5-36° pitch - 300mm c/c,£13.11 M2,£13.11
RFGRFA25>,Add-on lab & mat - 50 x 250mm - 22.5-36° pitch - 600mm c/c,£7.76 M2,£7.76
RFGRFA25S,Add-on lab & mat - 50 x 250mm - 36-45° pitch - 400mm c/c,£18.27 M2,£18.27
RFGRFA25S<,Add-on lab & mat - 50 x 250mm - 36-45° pitch - 300mm c/c,£23.07 M2,£23.07
RFGRFA25S>,Add-on lab & mat - 50 x 250mm - 36-45° pitch - 600mm c/c,£13.55 M2,£13.55
RFGRFA30,Add-on lab & mat - 50 x 300mm - 22.5-36° pitch - 400mm c/c,£13.19 M2,£13.19
RFGRFA30<,Add-on lab & mat - 50 x 300mm - 22.5-36° pitch - 300mm c/c,£16.81 M2,£16.81
RFGRFA30>,Add-on lab & mat - 50 x 300mm - 22.5-36° pitch - 600mm c/c,£9.66 M2,£9.66
RFGRFA30S,Add-on lab & mat - 50 x 300mm - 36-45° pitch - 400mm c/c,£23.82 M2,£23.82
RFGRFA30S<,Add-on lab & mat - 50 x 300mm - 36-45° pitch - 300mm c/c,£30.42 M2,£30.42
RFGRFA30S>,Add-on lab & mat - 50 x 300mm - 36-45° pitch - 600mm c/c,£17.31 M2,£17.31
RFGRFC,Rafter - Curved,£32.08 LM,£32.08
RFGRFLM10,Rafter - 50 x 100mm - Cut and pitched roof,£8.79 LM,£8.79
RFGRFLM10L,Rafter - 50 x 100mm - Labour only - Cut and pitched roof,£4.65 LM,£4.65
RFGRFLM15,Rafter - 50 x 150mm - Cut and pitched roof,£10.19 LM,£10.19
RFGRFLM15L,Rafter - 50 x 150mm - Labour only - Cut and pitched roof,£5.33 LM,£5.33
RFGRFLM20,Rafter - 50 x 200mm - Cut and pitched roof,£15.59 LM,£15.59
RFGRFLM20L,Rafter - 50 x 200mm - Labour only - Cut and pitched roof,£6.35 LM,£6.35
RFGRFLM25,Rafter - 50 x 250mm - Cut and pitched roof,£13.35 LM,£13.35
RFGRFLM25L,Rafter - 50 x 250mm - Labour only - Cut and pitched roof,£7.05 LM,£7.05
RFGRFLM30,Rafter - 50 x 300mm - Cut and pitched roof,£19.88 LM,£19.88
RFGRFLM30L,Rafter - 50 x 300mm - Labour only - Cut and pitched roof,£8.08 LM,£8.08
RFGRFMN,Roof building - Minimum trade rate,£108.38 EA,£108.30
RFGRFSM10,"Rafters -50 x 100mm -400mm c/c (14-22.5° Gable, per M²/fl)",£27.48 M2,£27.48
RFGRFSM10<,"Rafters -50 x 100mm -300mm c/c (14-22.5° Gable, per M²/fl)",£33.36 M2,£33.36
RFGRFSM10>,"Rafters -50 x 100mm -600mm c/c (14-22.5° Gable, per M²/fl)",£21.37 M2,£21.37
RFGRFSM15,"Rafters -50 x 150mm -400mm c/c (14-22.5° Gable, per M²/fl)",£31.69 M2,£31.69
RFGRFSM15<,"Rafters -50 x 150mm -300mm c/c (14-22.5° Gable, per M²/fl)",£39.01 M2,£39.01
RFGRFSM15>,"Rafters -50 x 150mm -600mm c/c (14-22.5° Gable, per M²/fl)",£24.53 M2,£24.53
RFGRFSM20,"Rafters -50 x 200mm -400mm c/c (14-22.5° Gable, per M²/fl)",£48.57 M2,£48.57
RFGRFSM20<,"Rafters -50 x 200mm -300mm c/c (14-22.5° Gable, per M²/fl)",£60.36 M2,£60.36
RFGRFSM20>,"Rafters -50 x 200mm -600mm c/c (14-22.5° Gable, per M²/fl)",£36.92 M2,£36.92
RFGRFSM25,"Rafters -50 x 250mm -400mm c/c (14-22.5° Gable, per M²/fl)",£41.53 M2,£41.53
RFGRFSM25<,"Rafters -50 x 250mm -300mm c/c (14-22.5° Gable, per M²/fl)",£51.63 M2,£51.63
RFGRFSM25>,"Rafters -50 x 250mm -600mm c/c (14-22.5° Gable, per M²/fl)",£31.41 M2,£31.41
RFGRFSM30,"Rafters -50 x 300mm -400mm c/c (14-22.5° Gable, per M²/fl)",£60.52 M2,£60.52
RFGRFSM30<,"Rafters -50 x 300mm -300mm c/c (14-22.5° Gable, per M²/fl)",£77.40 M2,£77.40
RFGRFSM30>,"Rafters -50 x 300mm -600mm c/c (14-22.5° Gable, per M²/fl)",£46.57 M2,£46.57
RFGRFT20>,Rafter - 50 x 200mm - 600mm c/c,£18.11 LM,£18.11
RFGSL,Synthetic roofing slate - 400 x 200mm,£11.10 EA,£11.10
RFGSL>,Synthetic roofing slate - 600 x 300mm,£12.46 EA,£12.46
RFGSLAT,Synthetic slate roofing,£25.59 M2,£25.59
RFGSLAT+,Synthetic slate roofing - W/battens & felt,£65.49 M2,£65.49
RFGSLATE,Natural slate roofing,£34.67 M2,£34.67
RFGSLATE+,Natural slate roofing - W/battens & felt,£71.18 M2,£71.18
RFGSLATEV,Roof slate - Ventilator,£25.04 EA,£25.04
RFGSLE,Natural roofing slate - 400 x 200mm,£11.44 EA,£11.44
RFGSLE>,Natural roofing slate - 600 x 300mm,£13.79 EA,£13.79
RFGSLR,Synthetic slate roofing - Angular ridge tile,£30.62 LM,£30.62
RFGSLR+,Natural slate roofing - Angular ridge tile,£40.53 LM,£40.53
RFGSLRF,Slate roofing - Remove & refit,£43.62 M2,£43.62
RFGSLRS,Synthetic slate roofing - Angular ridge tile - 450mm,£10.40 EA,£10.40
RFGSLRS+,Natural slate roofing - Angular ridge tile - 450mm,£12.58 EA,£12.58
RFGSPCRN,Single ply membrane - Edge trim corner,£5.63 EA,£5.63
RFGSPEP,Single ply membrane - External patch,£9.41 EA,£9.41
RFGSPIP,Single ply membrane - Internal patch,£11.52 EA,£11.52
RFGSPM,Single ply membrane - 1.5mm EPDM sheet,£18.93 M2,£18.93
RFGSPMBT,Single ply membrane - Mechanical bonding tape,£8.79 LM,£8.79
RFGSPMJ,Single ply membrane - EPDM - Joining tape,£13.50 LM,£13.50
RFGSPPB,Single ply membrane - Pipe boot,£32.69 EA,£32.69
RFGSPTB,Single ply membrane - Termination bar,£7.28 LM,£7.28
RFGSPTRM,Single ply membrane - Edge trim,£8.86 LM,£8.86
RFGSPWU,Single ply membrane - Wall upstand,£7.16 LM,£7.16
RFGST,Asphalt/Felt shingle tile roofing - Incl. underlay,£16.93 M2,£16.93
RFGST+,Asphalt/Felt shingle tile rfg - Incl. underlay- High grade,£19.25 M2,£19.25
RFGSTEEP,Additional lab charge for steep roof - 30° to 39° pitch,£1.96 M2,£1.96
RFGSTEEP>,Additional lab charge for steep roof - 40° to 45° pitch,£3.06 M2,£3.06
RFGSTEEP>>,Additional lab charge for steep roof - Greater than 45°,£3.84 M2,£3.84
RFGSTRH15,Rafter - Horizontal support strut - 50 x 150mm,£14.22 LM,£14.22
RFGSTRH20,Rafter - Horizontal support strut - 50 x 200mm,£19.08 LM,£19.08
RFGSTRIDT,Ridge tile - Asphalt/felt shingle tiles,£7.51 LM,£7.51
RFGSTRIDT+,Ridge tile - High profile - Asphalt/felt shingle tiles,£7.33 LM,£7.33
RFGSTRV15,Rafter - Vertical support strut - 50 x 150mm,£13.17 LM,£13.17
RFGSTRV20,Rafter - Vertical support strut - 50 x 200mm,£17.94 LM,£17.94
RFGSTS,Asphalt/Felt shingle tile roofing - W/out underlay,£15.31 M2,£15.31
RFGSTS+,Asphalt/Felt shingle tile rfg - W/out underlay- High grade,£17.52 M2,£17.52
RFGTB38,Tile/slate roof batten - Treated - 19 x 38mm,£5.89 LM,£5.89
RFGTB38>,Tile/slate roof batten - Treated - 25 x 38mm,£6.32 LM,£6.32
RFGTB50,Tile/slate roof batten - Treated - 25 x 50mm,£7.11 LM,£7.11
RFGTBAT38,Tile/slate treated batten - 19 x 38mm - Up to 180mm o/c,£14.53 M2,£14.53
RFGTBAT38>,Tile/Slate - Batten sys. - 25 x 38mm - over 180mm o/c,£14.61 M2,£14.61
RFGTBAT50,Tile/slate treated batten - 25 x 50mm - Up to 180mm o/c,£16.10 M2,£16.10
RFGTBAT50>,Tile/slate treated batten - 25 x 50mm - Over 180mm o/c,£15.75 M2,£15.75
RFGTBATC,Tile/slate treated counter battens (vertical) - 450mm o/c,£3.79 M2,£3.79
RFGTBATC>,Tile/slate treated counter battens (vertical) - 600mm o/c,£2.86 M2,£2.86
RFGTCLIP,Truss clip,£5.11 EA,£5.11
RFGTCRV,Roofing tile - Ventilator - 420 x 330mm,£33.12 EA,£33.12
RFGTILMN,Roofing repair - Minimum trade rate,£93.57 EA,£93.57
RFGTILRF,Tile roofing - Remove & refit,£26.96 M2,£26.96
RFGTLC,Roofing tile - Concrete - Plain tile - W/batten & felt,£162.21 M2,£162.20
RFGTLCE,Roofing tile - Concrete - Plain tile - 265 x 165mm,£2.83 EA,£2.83
RFGTLCL,Roofing tile - Clay - Plain tiles - W/batten & felt,£161.15 M2,£161.10
RFGTLCLE,Roofing tile - Clay - Plain tile - 265 x 165mm,£2.78 EA,£2.78
RFGTLCLR,Roofing tile - Clay - Ornate profile - W/batten & felt,£74.90 M2,£74.90
RFGTLCLRE,Roofing tile - Clay - Ornate profile - 420 x 330mm,£4.13 EA,£4.13
RFGTLCLRI1,Roofing ridge tile - Clay - 300mm,£9.14 EA,£9.14
RFGTLCLRI2,Roofing ridge tile - Clay - 450mm,£12.92 EA,£12.92
RFGTLCLRID,Roofing ridge tile - Clay,£25.13 LM,£25.13
RFGTLCLRS,Roofing tile - Clay - Ornate profile - 420 x 330mm,£26.78 M2,£26.78
RFGTLCLS,Roofing tile - Clay - Plain tile - 265 x 165mm,£80.86 M2,£80.86
RFGTLCR,Roofing tile - Concrete - Ornate profile - W/battens/felt,£77.00 M2,£77.00
RFGTLCRE,Roofing tile - Concrete - Ornate profile - 420 x 330mm,£4.38 EA,£4.38
RFGTLCRID,Roofing ridge tile - Concrete,£28.05 LM,£28.05
RFGTLCRID1,Roofing ridge tile - Concrete - 300mm,£9.78 EA,£9.78
RFGTLCRID2,Roofing ridge tile - Concrete - 450mm,£12.07 EA,£12.07
RFGTLCRS,Roofing tile - Concrete - Ornate profile - 420 x 330mm,£29.25 M2,£29.25
RFGTLCS,Roofing tile - Concrete - Plain tiles - 265 x 165mm,£66.93 M2,£66.93
RFGTR22,Fink truss - Pitched - 14° - 22°,£26.57 LM,£26.57
RFGTR22+,Fink truss - Pitched - 14° - 22° - Heavy loading,£30.09 LM,£30.09
RFGTR22T,Fink truss - Pitched - 14° - 22° - Treated,£30.03 LM,£30.03
RFGTR34,Fink truss - Pitched - 23° - 34°,£29.32 LM,£29.32
RFGTR34+,Fink truss - Pitched - 23° - 34° - Heavy loading,£33.03 LM,£33.03
RFGTR34T,Fink truss - Pitched - 23° - 34° - Treated,£32.84 LM,£32.84
RFGTR40,Fink truss - Pitched - 35° - 40°,£33.72 LM,£33.72
RFGTR40+,Fink truss - Pitched - 35° - 40° - Heavy loading,£38.24 LM,£38.24
RFGTR40T,Fink truss - Pitched - 35° - 40° - Treated,£37.64 LM,£37.64
RFGTR45,Fink truss - Pitched - 41° - 45°,£35.19 LM,£35.19
RFGTR45+,Fink truss - Pitched - 41° - 45° - Heavy loading,£38.72 LM,£38.72
RFGTR45T,Fink truss - Pitched - 41° - 45° - Treated,£39.17 LM,£39.17
RFGTRA34,Attic truss - Pitched - 22° - 34°,£49.81 LM,£49.81
RFGTRA40,Attic truss - Pitched - 35 - 40°,£54.58 LM,£54.58
RFGTRA45,Attic truss - Pitched - 41° - 45°,£56.69 LM,£56.69
RFGTRCVC,Roofing ridge tile - Verge clip - Alloy,£18.63 EA,£18.63
RFGTRG22,Girder truss - Pitched - 16° - 22°,£68.48 LM,£68.48
RFGTRG34,Girder truss - Pitched - 23° - 34°,£68.12 LM,£68.12
RFGTRG40,Girder truss - Pitched - 35° - 40°,£74.87 LM,£74.87
RFGTRG45,Girder truss - Pitched - 41° - 45°,£77.40 LM,£77.40
RFGTRGB,Gambrel truss - Barn style - Pitched - 31° - 39°,£50.33 LM,£50.33
RFGTRM22,Mono truss - Pitched - 14° - 22°,£30.25 LM,£30.25
RFGTRM34,Mono truss - Pitched - 23° - 34°,£34.28 LM,£34.28
RFGTRM40,Mono truss - Pitched - 35° - 40°,£36.27 LM,£36.27
RFGTRM45,Mono truss - Pitched - 41° - 45°,£37.27 LM,£37.27
RFGTRR2RF,Roofing ridge tile - Remove and re-bed - Per LM,£11.82 LM,£11.82
RFGTRRF,Truss - Remove & refit,£10.94 LM,£10.94
RFGTRRRF,Roofing ridge tile - Remove and re-bed,£5.58 EA,£5.58
RFGTRS22,Scissor truss - Pitched - 14° - 22°,£33.45 LM,£33.45
RFGTRS34,Scissor truss - Pitched - 22° - 34°,£36.00 LM,£36.00
