Code,Description,Units,total
CDMAT6.2M,Mobile scaffold access tower - 6.2m working platform,WK,£125.05
CDMAT7.2M,Mobile scaffold access tower - 7.2m working platform,WK,£137.59
CDMAT8.2M,Mobile scaffold access tower - 8.2m working platform,WK,£159.84
CDMATER,Set up & take down mobile access tower - Up to 4.3m,EA,£23.08
CDMATER>,Set up & take down mobile access tower - 5.2m - 10.2m,EA,£32.06
CDMATLLFP,Mobile access - Low level - Folding platform - Weekly hire,WK,£49.71
CDMATLV,Use of Podium Steps - per claim,EA,£22.50
CDMBRKGD,Galvanised/Plastic brickguards (material only),EA,£4.61
CDMFAP,Fall arrest pad hire (per week),M2,£1.95
CDMGW,Gin wheel hire (per week),WK,£18.50
CDMLABL,Scaffolding - General labourer - Per hour,HR,£24.24
CDMLABM,Construction Manager - Per hour,HR,£24.24
CDMMN,Construction Design Management - Minimum trade rate,EA,£107.11
CDMPC,PC sum - Construction design management,EA,£0.00
CDMPSU,Portable shower unit - One stall (per week),WK,£48.67
CDMPSUDP,Portable shower unit hire - Del./pickup charge (each way),EA,£42.80
CDMPTLT,Single portable chemical toilet - weekly hire,WK,£27.24
CDMPTLDP,Single portable chemical toilet pick up/del - each way,EA,£26.50
CDMPTLTDP>,Double mains portable toilet pick up/del - each way,EA,£105.00
CDMSAFE,Supply and install/remove of a key safe,EA,£0.00
CDMSB,Safety barrier - Weekly hire,WK,£11.00
CDMSCFLV,LV specific scaffolding  rate,M2,£24.72
CDMSCFPSLV,Provisional sum - Scaffolding,EA,£0.00
CDMSIT,Scaffolding inspection tag,EA,£6.04
CDMWU<,Welfare unit - All in one - 3.6m x 2.3m (per week),WK,£0.00
CDMWUDP,Portable welfare unit hire - Del./pickup charge (each way),EA,£145.00
CDMWUS,Portable welfare unit - Sanitation servicing,EA,£80.00
,D) CEL CONT: CLEAN ELECTRIC ITEMS,,
CELCAL,Clean calculator (electronic) - External wipe down,EA,£5.76
CELCAL+,Clean calculator (electronic) - Int. & ext.,EA,£55.02
CELCAS,Clean cassette player - Portable - External wipe down,EA,£5.76
CELCAS+,Clean cassette player - Portable - Int. & ext.,EA,£39.90
CELCD,Clean CD player - External wipe down,EA,£4.88
CELCD+,Clean CD player - Int. & ext., EA,£122.93
CELCMP,Clean computer sys. (CPU/monitor/key) - External wipe down,EA,£20.63
CELCMP+,Clean computer sys. (CPU/monitor/key) - Int. & ext.,EA,£268.13
CELCMPBX,Clean computer CPU box - External wipe down,EA,£7.12
CELCMPBX+,Clean computer CPU box - Int. & ext.,EA,£193.50
CELCMPK,Clean computer keyboard - External wipe down,EA,£6.94
CELCMPK+,Clean computer keyboard - Int. & ext.,EA,£44.50
CELCMPMC,Clean computer monitor - Colour - External wipe down,EA,£7.12
CELCMPMC+,Clean computer monitor - Colour - Int. & ext.,EA,£120.79
CELCMPMM,Clean computer monitor - Mono - External wipe down,EA,£7.12
CELCMPMM+,Clean computer monitor - Mono - Interior & external,EA,£57.57
CELCMPMOD,Clean computer modem - External - External wipe down,EA,£3.79
CELCMPMOD+,Clean computer modem - External - Int. & ext.,EA,£60.75
CELCMPMS,Clean computer mouse - External wipe down,EA,£2.44
CELCMPMS+,Clean computer mouse - Int. & ext.,EA,£22.06
